tag             min_meta_client     min_meta_server     
1.2.46          0.9.41              1.1.32              
1.2.47          0.9.41              1.1.32              
1.2.48          0.9.41              1.1.32              
1.2.49          0.9.41              1.1.32              
1.2.50          0.9.41              1.1.32              
1.2.51          0.9.41              1.1.32              
1.2.52          0.9.41              1.1.32              
1.2.53          0.9.41              1.1.32              
1.2.54          0.9.41              1.1.32              
1.2.55          0.9.41              1.1.32              
1.2.56          0.9.41              1.1.32              
1.2.57          0.9.41              1.1.32              
1.2.58          0.9.41              1.1.32              
1.2.59          0.9.41              1.1.32              
1.2.60          0.9.41              1.1.32              
1.2.61          0.9.41              1.1.32              
1.2.62          0.9.41              1.1.32              
1.2.63          0.9.41              1.1.32              
1.2.64          0.9.41              1.1.32              
1.2.65          0.9.41              1.1.32              
1.2.66          0.9.41              1.1.32              
1.2.67          0.9.41              1.1.32              
1.2.68          0.9.41              1.1.32              
1.2.69          0.9.41              1.1.32              
1.2.70          0.9.41              1.1.32              
1.2.71          0.9.41              1.1.32              
1.2.72          0.9.41              1.1.32              
1.2.73          0.9.41              1.1.32              
1.2.74          0.9.41              1.1.32              
1.2.75          0.9.41              1.1.32              
1.2.76          0.9.41              1.1.32              
1.2.77          0.9.41              1.1.32              
1.2.78          0.9.41              1.1.32              
1.2.79          0.9.41              1.1.32              
1.2.80          0.9.41              1.1.32              
1.2.81          0.9.41              1.1.32              
1.2.82          0.9.41              1.1.32              
1.2.83          0.9.41              1.1.32              
1.2.84          0.9.41              1.1.32              
1.2.85          0.9.41              1.1.32              
1.2.86          0.9.41              1.1.32              
1.2.87          0.9.41              1.1.32              
1.2.88          0.9.41              1.1.32              
1.2.89          0.9.41              1.1.32              
1.2.90          0.9.41              1.1.32              
1.2.91          0.9.41              1.1.32              
1.2.92          0.9.41              1.1.32              
1.2.93          0.9.41              1.1.32              
1.2.94          0.9.41              1.1.32              
1.2.95          0.9.41              1.1.32              
1.2.96          0.9.41              1.1.32              
1.2.97          0.9.41              1.1.32              
1.2.98          0.9.41              1.1.32              
1.2.99          0.9.41              1.1.32              
1.2.100         0.9.41              1.1.32              
1.2.101         0.9.41              1.1.32              
1.2.102         0.9.41              1.1.32              
1.2.103         0.9.41              1.1.32              
1.2.104         0.9.41              1.1.32              
1.2.105         0.9.41              1.1.32              
1.2.106         0.9.41              1.1.32              
1.2.107         0.9.41              1.1.32              
1.2.108         0.9.41              1.1.32              
1.2.109         0.9.41              1.1.32              
1.2.110         0.9.41              1.1.32              
1.2.111         0.9.41              1.1.32              
1.2.112         0.9.41              1.1.32              
1.2.113         0.9.41              1.1.32              
1.2.114         0.9.41              1.1.32              
1.2.115         0.9.41              1.1.32              
1.2.116         0.9.41              1.1.32              
1.2.117         0.9.41              1.1.32              
1.2.118         0.9.41              1.1.32              
1.2.119         0.9.41              1.1.32              
1.2.120         0.9.41              1.1.32              
1.2.121         0.9.41              1.1.32              
1.2.122         0.9.41              1.1.32              
1.2.123         0.9.41              1.1.32              
1.2.124         0.9.41              1.1.32              
1.2.125         0.9.41              1.1.32              
1.2.126         0.9.41              1.1.32              
1.2.127         0.9.41              1.1.32              
1.2.128         0.9.41              1.1.32              
1.2.129         0.9.41              1.1.32              
1.2.130         0.9.41              1.1.32              
1.2.131         0.9.41              1.1.32              
1.2.132         0.9.41              1.1.32              
1.2.133         0.9.41              1.1.32              
1.2.134         0.9.41              1.1.32              
1.2.135         0.9.41              1.1.32              
1.2.136         0.9.41              1.1.32              
1.2.137         0.9.41              1.1.32              
1.2.138         0.9.41              1.1.32              
1.2.139         0.9.41              1.1.32              
1.2.140         0.9.41              1.1.32              
1.2.141         0.9.41              1.1.32              
1.2.142         0.9.41              1.1.32              
1.2.143         0.9.41              1.1.32              
1.2.144         0.9.41              1.1.32              
1.2.145         0.9.41              1.1.32              
1.2.146         0.9.41              1.1.32              
1.2.147         0.9.41              1.1.32              
1.2.148         0.9.41              1.1.32              
1.2.149         0.9.41              1.1.32              
1.2.150         0.9.41              1.1.32              
1.2.151         0.9.41              1.1.32              
1.2.152         0.9.41              1.1.32              
1.2.153         0.9.41              1.1.32              
1.2.154         0.9.41              1.1.32              
1.2.155         0.9.41              1.1.32              
1.2.156         0.9.41              1.1.32              
1.2.157         0.9.41              1.1.32              
1.2.158         0.9.41              1.1.32              
1.2.159         0.9.41              1.1.32              
1.2.160         0.9.41              1.1.32              
1.2.161         0.9.41              1.1.32              
1.2.162         0.9.41              1.1.32              
1.2.163         0.9.41              1.1.32              
1.2.164         0.9.41              1.1.32              
1.2.165         0.9.41              1.1.32              
1.2.166         0.9.41              1.1.32              
1.2.167         0.9.41              1.1.32              
1.2.168         0.9.41              1.1.32              
1.2.169         0.9.41              1.1.32              
1.2.170         0.9.41              1.1.32              
1.2.171         0.9.41              1.1.32              
1.2.172         0.9.41              1.1.32              
1.2.173         0.9.41              1.1.32              
1.2.174         0.9.41              1.1.32              
1.2.175         0.9.41              1.1.32              
1.2.176         0.9.41              1.1.32              
1.2.177         0.9.41              1.1.32              
1.2.178         0.9.41              1.1.32              
1.2.179         0.9.41              1.1.32              
1.2.180         0.9.41              1.1.32              
1.2.181         0.9.41              1.1.32              
1.2.182         0.9.41              1.1.32              
1.2.183         0.9.41              1.1.32              
1.2.184         0.9.41              1.1.32              
1.2.185         0.9.41              1.1.32              
1.2.186         0.9.41              1.1.32              
1.2.187         0.9.41              1.1.32              
1.2.188         0.9.41              1.1.32              
1.2.189         0.9.41              1.1.32              
1.2.190         0.9.41              1.1.32              
1.2.191         0.9.41              1.1.32              
1.2.192         0.9.41              1.1.32              
1.2.193         0.9.41              1.1.32              
1.2.194         0.9.41              1.1.32              
1.2.195         0.9.41              1.1.32              
1.2.196         0.9.41              1.1.32              
1.2.197         0.9.41              1.1.32              
1.2.198         0.9.41              1.1.32              
1.2.199         0.9.41              1.1.32              
1.2.200         0.9.41              1.1.32              
1.2.201         0.9.41              1.1.32              
1.2.202         0.9.41              1.1.32              
1.2.203         0.9.41              1.1.32              
1.2.204         0.9.41              1.1.32              
1.2.205         0.9.41              1.1.32              
1.2.206         0.9.41              1.1.32              
1.2.207         0.9.41              1.1.32              
1.2.208         0.9.41              1.1.32              
1.2.209         0.9.41              1.1.32              
1.2.210         0.9.41              1.1.32              
1.2.211         0.9.41              1.1.32              
1.2.212         0.9.41              1.1.32              
1.2.213         0.9.41              1.1.32              
1.2.214         0.9.41              1.1.32              
1.2.215         0.9.41              1.1.32              
1.2.216         0.9.41              1.1.32              
1.2.217         0.9.41              1.1.32              
1.2.218         0.9.41              1.1.32              
1.2.219         0.9.41              1.1.32              
1.2.220         0.9.41              1.1.32              
1.2.221         0.9.41              1.1.32              
1.2.222         0.9.41              1.1.32              
1.2.223         0.9.41              1.1.32              
1.2.224         0.9.41              1.1.32              
1.2.225         0.9.41              1.1.32              
1.2.226         0.9.41              1.1.32              
1.2.227         0.9.41              1.1.32              
1.2.228         0.9.41              1.1.32              
1.2.229         0.9.41              1.1.32              
1.2.230         0.9.41              1.1.32              
1.2.231         0.9.41              1.1.32              
1.2.232         0.9.41              1.1.32              
1.2.233         0.9.41              1.1.32              
1.2.233         0.9.41              1.1.32              
1.2.234         0.9.41              1.1.32              
1.2.235         0.9.41              1.1.32              
1.2.236         0.9.41              1.1.32              
1.2.237         0.9.41              1.1.32              
1.2.238         0.9.41              1.1.32              
1.2.239         0.9.41              1.1.32              
1.2.240         0.9.41              1.1.32              
1.2.241         0.9.41              1.1.32              
1.2.242         0.9.41              1.1.32              
1.2.243         0.9.41              1.1.32              
1.2.244         0.9.41              1.1.32              
1.2.245         0.9.41              1.1.32              
1.2.246         0.9.41              1.1.32              
1.2.247         0.9.41              1.1.32              
1.2.248         0.9.41              1.1.32              
1.2.249         0.9.41              1.1.32              
1.2.250         0.9.41              1.1.32              
1.2.251         0.9.41              1.1.32              
1.2.252         0.9.41              1.1.32              
1.2.253         0.9.41              1.1.32              
1.2.254         0.9.41              1.1.32              
1.2.255         0.9.41              1.1.32              
1.2.256         0.9.41              1.1.32              
1.2.257         0.9.41              1.1.32              
1.2.258         0.9.41              1.1.32              
1.2.259         0.9.41              1.1.32              
1.2.260         0.9.41              1.1.32              
1.2.261         0.9.41              1.1.32              
1.2.262         0.9.41              1.1.32              
1.2.262         0.9.41              1.1.32              
1.2.263         0.9.41              1.1.32              
1.2.264         0.9.41              1.1.32              
1.2.265         0.9.41              1.1.32              
1.2.266         0.9.41              1.1.32              
1.2.267         0.9.41              1.1.32              
1.2.268         0.9.41              1.1.32              
1.2.269         0.9.41              1.1.32              
1.2.270         0.9.41              1.1.32              
1.2.271         0.9.41              1.1.32              
1.2.272         0.9.41              1.1.32              
1.2.273         0.9.41              1.1.32              
1.2.274         0.9.41              1.1.32              
1.2.275         0.9.41              1.1.32              
1.2.275         0.9.41              1.1.32              
1.2.276         0.9.41              1.1.32              
1.2.277         0.9.41              1.1.32              
1.2.278         0.9.41              1.1.32              
1.2.279         0.9.41              1.1.32              
1.2.279         0.9.41              1.1.32              
1.2.280         0.9.41              1.1.32              
1.2.281         0.9.41              1.1.32              
1.2.282         0.9.41              1.1.32              
1.2.283         0.9.41              1.1.32              
1.2.284         0.9.41              1.1.32              
1.2.285         0.9.41              1.1.32              
1.2.286         0.9.41              1.1.32              
1.2.287         0.9.41              1.2.226             
1.2.288         0.9.41              1.2.226             
1.2.289         0.9.41              1.2.226             
1.2.290         0.9.41              1.2.226             
1.2.290         0.9.41              1.2.226             
1.2.291         0.9.41              1.2.226             
1.2.292         0.9.41              1.2.226             
1.2.292         0.9.41              1.2.226             
1.2.293         0.9.41              1.2.226             
1.2.294         0.9.41              1.2.226             
1.2.295         0.9.41              1.2.226             
1.2.296         0.9.41              1.2.226             
1.2.297         0.9.41              1.2.226             
1.2.298         0.9.41              1.2.226             
1.2.299         0.9.41              1.2.226             
1.2.300         0.9.41              1.2.226             
1.2.301         0.9.41              1.2.226             
1.2.302         0.9.41              1.2.226             
1.2.303         0.9.41              1.2.226             
1.2.304         0.9.41              1.2.226             
1.2.305         0.9.41              1.2.226             
1.2.306         0.9.41              1.2.226             
1.2.307         0.9.41              1.2.226             
1.2.307         0.9.41              1.2.226             
1.2.308         0.9.41              1.2.226             
1.2.309         0.9.41              1.2.226             
1.2.310         0.9.41              1.2.226             
1.2.311         0.9.41              1.2.226             
1.2.312         0.9.41              1.2.226             
1.2.313         0.9.41              1.2.226             
1.2.314         0.9.41              1.2.226             
1.2.315         0.9.41              1.2.226             
1.2.316         0.9.41              1.2.226             
1.2.317         0.9.41              1.2.226             
1.2.318         0.9.41              1.2.226             
1.2.319         0.9.41              1.2.226             
1.2.320         0.9.41              1.2.226             
1.2.321         0.9.41              1.2.226             
1.2.322         0.9.41              1.2.226             
1.2.323         0.9.41              1.2.226             
1.2.324         0.9.41              1.2.226             
1.2.325         0.9.41              1.2.226             
1.2.326         0.9.41              1.2.226             
1.2.327         0.9.41              1.2.226             
1.2.328         0.9.41              1.2.226             
1.2.329         0.9.41              1.2.226             
1.2.330         0.9.41              1.2.226             
1.2.331         0.9.41              1.2.226             
1.2.332         0.9.41              1.2.226             
1.2.333         0.9.41              1.2.226             
1.2.334         0.9.41              1.2.226             
1.2.335         0.9.41              1.2.226             
1.2.336         0.9.41              1.2.226             
1.2.337         0.9.41              1.2.226             
1.2.338         0.9.41              1.2.226             
1.2.339         0.9.41              1.2.226             
1.2.340         0.9.41              1.2.226             
1.2.341         0.9.41              1.2.226             
1.2.342         0.9.41              1.2.226             
1.2.343         0.9.41              1.2.226             
1.2.344         0.9.41              1.2.226             
1.2.344         0.9.41              1.2.226             
1.2.345         0.9.41              1.2.226             
1.2.346         0.9.41              1.2.226             
1.2.347         0.9.41              1.2.226             
1.2.348         0.9.41              1.2.226             
1.2.349         0.9.41              1.2.226             
1.2.350         0.9.41              1.2.226             
1.2.351         0.9.41              1.2.226             
1.2.352         0.9.41              1.2.226             
1.2.353         0.9.41              1.2.226             
1.2.354         0.9.41              1.2.226             
1.2.355         0.9.41              1.2.226             
1.2.356         0.9.41              1.2.226             
1.2.357         0.9.41              1.2.226             
1.2.358         0.9.41              1.2.226             
1.2.359         0.9.41              1.2.226             
1.2.360         0.9.41              1.2.226             
1.2.361         0.9.41              1.2.259             
1.2.362         0.9.41              1.2.259             
1.2.363         0.9.41              1.2.259             
1.2.364         0.9.41              1.2.259             
1.2.365         0.9.41              1.2.259             
1.2.366         0.9.41              1.2.259             
1.2.367         0.9.41              1.2.259             
1.2.368         0.9.41              1.2.259             
1.2.369         0.9.41              1.2.259             
1.2.370         0.9.41              1.2.259             
1.2.371         0.9.41              1.2.259             
1.2.371         0.9.41              1.2.259             
1.2.372         0.9.41              1.2.259             
1.2.373         0.9.41              1.2.259             
1.2.374         0.9.41              1.2.259             
1.2.375         0.9.41              1.2.259             
1.2.376         0.9.41              1.2.259             
1.2.377         0.9.41              1.2.259             
1.2.378         0.9.41              1.2.259             
1.2.379         0.9.41              1.2.259             
1.2.380         0.9.41              1.2.259             
1.2.381         0.9.41              1.2.259             
1.2.382         0.9.41              1.2.259             
1.2.383         0.9.41              1.2.259             
1.2.384         0.9.41              1.2.259             
1.2.385         0.9.41              1.2.259             
1.2.386         0.9.41              1.2.259             
1.2.387         0.9.41              1.2.259             
1.2.388         0.9.41              1.2.259             
1.2.389         0.9.41              1.2.259             
1.2.390         0.9.41              1.2.259             
1.2.391         0.9.41              1.2.259             
1.2.392         0.9.41              1.2.259             
1.2.393         0.9.41              1.2.259             
1.2.394         0.9.41              1.2.259             
1.2.395         0.9.41              1.2.259             
1.2.396         0.9.41              1.2.259             
1.2.397         0.9.41              1.2.259             
1.2.398         0.9.41              1.2.259             
1.2.399         0.9.41              1.2.259             
1.2.400         0.9.41              1.2.259             
1.2.401         0.9.41              1.2.259             
1.2.402         0.9.41              1.2.259             
1.2.403         0.9.41              1.2.259             
1.2.404         0.9.41              1.2.259             
1.2.405         0.9.41              1.2.259             
1.2.406         0.9.41              1.2.259             
1.2.407         0.9.41              1.2.259             
1.2.408         0.9.41              1.2.259             
1.2.409         0.9.41              1.2.259             
1.2.410         0.9.41              1.2.259             
1.2.410         0.9.41              1.2.259             
1.2.411         0.9.41              1.2.259             
1.2.412         0.9.41              1.2.259             
1.2.413         0.9.41              1.2.259             
1.2.414         0.9.41              1.2.259             
1.2.415         0.9.41              1.2.259             
1.2.416         0.9.41              1.2.259             
1.2.417         0.9.41              1.2.259             
1.2.418         0.9.41              1.2.259             
1.2.419         0.9.41              1.2.259             
1.2.420         0.9.41              1.2.259             
1.2.421         0.9.41              1.2.259             
1.2.422         0.9.41              1.2.259             
1.2.423         0.9.41              1.2.259             
1.2.424         0.9.41              1.2.259             
1.2.425         0.9.41              1.2.259             
1.2.426         0.9.41              1.2.259             
1.2.427         0.9.41              1.2.259             
1.2.428         0.9.41              1.2.259             
1.2.429         0.9.41              1.2.259             
1.2.430         0.9.41              1.2.259             
1.2.431         0.9.41              1.2.259             
1.2.432         0.9.41              1.2.259             
1.2.433         0.9.41              1.2.259             
1.2.434         0.9.41              1.2.259             
1.2.435         0.9.41              1.2.259             
1.2.436         0.9.41              1.2.259             
1.2.437         0.9.41              1.2.259             
1.2.438         0.9.41              1.2.259             
1.2.439         0.9.41              1.2.259             
1.2.440         0.9.41              1.2.259             
1.2.441         0.9.41              1.2.259             
1.2.442         0.9.41              1.2.259             
1.2.443         0.9.41              1.2.259             
1.2.444         0.9.41              1.2.259             
1.2.445         0.9.41              1.2.259             
1.2.446         0.9.41              1.2.259             
1.2.447         0.9.41              1.2.259             
1.2.448         0.9.41              1.2.259             
1.2.449         0.9.41              1.2.259             
1.2.450         0.9.41              1.2.259             
1.2.451         0.9.41              1.2.259             
1.2.452         0.9.41              1.2.259             
1.2.452         0.9.41              1.2.259             
1.2.453         0.9.41              1.2.259             
1.2.453         0.9.41              1.2.259             
1.2.454         0.9.41              1.2.259             
1.2.455         0.9.41              1.2.259             
1.2.456         0.9.41              1.2.259             
1.2.457         0.9.41              1.2.259             
1.2.458         0.9.41              1.2.259             
1.2.459         0.9.41              1.2.259             
1.2.460         0.9.41              1.2.259             
1.2.461         0.9.41              1.2.259             
1.2.462         0.9.41              1.2.259             
1.2.463         0.9.41              1.2.259             
1.2.464         0.9.41              1.2.259             
1.2.465         0.9.41              1.2.259             
1.2.466         0.9.41              1.2.259             
1.2.467         0.9.41              1.2.259             
1.2.468         0.9.41              1.2.259             
1.2.469         0.9.41              1.2.259             
1.2.470         0.9.41              1.2.259             
1.2.471         0.9.41              1.2.259             
1.2.472         0.9.41              1.2.259             
1.2.473         0.9.41              1.2.259             
1.2.474         0.9.41              1.2.259             
1.2.475         0.9.41              1.2.259             
1.2.476         0.9.41              1.2.259             
1.2.477         0.9.41              1.2.259             
1.2.478         0.9.41              1.2.259             
1.2.479         0.9.41              1.2.259             
1.2.480         0.9.41              1.2.259             
1.2.481         0.9.41              1.2.259             
1.2.482         0.9.41              1.2.259             
1.2.483         0.9.41              1.2.259             
1.2.484         0.9.41              1.2.259             
1.2.485         0.9.41              1.2.259             
1.2.486         0.9.41              1.2.259             
1.2.487         0.9.41              1.2.259             
1.2.488         0.9.41              1.2.259             
1.2.489         0.9.41              1.2.259             
1.2.490         0.9.41              1.2.259             
1.2.491         0.9.41              1.2.259             
1.2.492         0.9.41              1.2.259             
1.2.493         0.9.41              1.2.259             
1.2.494         0.9.41              1.2.259             
1.2.495         0.9.41              1.2.259             
1.2.496         0.9.41              1.2.259             
1.2.497         0.9.41              1.2.259             
1.2.498         0.9.41              1.2.259             
1.2.499         0.9.41              1.2.259             
1.2.500         0.9.41              1.2.259             
1.2.501         0.9.41              1.2.259             
1.2.502         0.9.41              1.2.259             
1.2.503         0.9.41              1.2.259             
1.2.504         0.9.41              1.2.259             
1.2.505         0.9.41              1.2.259             
1.2.506         0.9.41              1.2.259             
1.2.507         0.9.41              1.2.259             
1.2.508         0.9.41              1.2.259             
1.2.509         0.9.41              1.2.259             
1.2.510         0.9.41              1.2.259             
1.2.511         0.9.41              1.2.259             
1.2.512         0.9.41              1.2.259             
1.2.513         0.9.41              1.2.259             
1.2.514         0.9.41              1.2.259             
1.2.515         0.9.41              1.2.259             
1.2.516         0.9.41              1.2.259             
1.2.517         0.9.41              1.2.259             
1.2.518         0.9.41              1.2.259             
1.2.519         0.9.41              1.2.259             
1.2.520         0.9.41              1.2.259             
1.2.521         0.9.41              1.2.259             
1.2.522         0.9.41              1.2.259             
1.2.523         0.9.41              1.2.259             
1.2.524         0.9.41              1.2.259             
1.2.525         0.9.41              1.2.259             
1.2.526         0.9.41              1.2.259             
1.2.527         0.9.41              1.2.259             
1.2.528         0.9.41              1.2.259             
1.2.529         0.9.41              1.2.259             
1.2.530         0.9.41              1.2.259             
1.2.530         0.9.41              1.2.259             
1.2.531         0.9.41              1.2.259             
1.2.532         0.9.41              1.2.259             
1.2.533         0.9.41              1.2.259             
1.2.534         0.9.41              1.2.259             
1.2.535         0.9.41              1.2.259             
1.2.536         0.9.41              1.2.259             
1.2.537         0.9.41              1.2.259             
1.2.538         0.9.41              1.2.259             
1.2.539         0.9.41              1.2.259             
1.2.540         0.9.41              1.2.259             
1.2.541         0.9.41              1.2.259             
1.2.542         0.9.41              1.2.259             
1.2.543         0.9.41              1.2.259             
1.2.544         0.9.41              1.2.259             
1.2.545         0.9.41              1.2.259             
1.2.546         0.9.41              1.2.259             
1.2.547         0.9.41              1.2.259             
1.2.548         0.9.41              1.2.259             
1.2.549         0.9.41              1.2.259             
1.2.550         0.9.41              1.2.259             
1.2.551         0.9.41              1.2.259             
1.2.552         0.9.41              1.2.259             
1.2.553         0.9.41              1.2.259             
1.2.554         0.9.41              1.2.259             
1.2.555         0.9.41              1.2.259             
1.2.556         0.9.41              1.2.259             
1.2.557         0.9.41              1.2.259             
1.2.558         0.9.41              1.2.259             
1.2.559         0.9.41              1.2.259             
1.2.560         0.9.41              1.2.259             
1.2.561         0.9.41              1.2.259             
1.2.562         0.9.41              1.2.259             
1.2.563         0.9.41              1.2.259             
1.2.564         0.9.41              1.2.259             
1.2.565         0.9.41              1.2.259             
1.2.566         0.9.41              1.2.259             
1.2.567         0.9.41              1.2.259             
1.2.568         0.9.41              1.2.259             
1.2.569         0.9.41              1.2.259             
1.2.570         0.9.41              1.2.259             
1.2.571         0.9.41              1.2.259             
1.2.572         0.9.41              1.2.259             
1.2.573         0.9.41              1.2.259             
1.2.574         0.9.41              1.2.259             
1.2.575         0.9.41              1.2.259             
1.2.576         0.9.41              1.2.259             
1.2.577         0.9.41              1.2.259             
1.2.578         0.9.41              1.2.259             
1.2.579         0.9.41              1.2.259             
1.2.580         0.9.41              1.2.259             
1.2.581         0.9.41              1.2.259             
1.2.582         0.9.41              1.2.259             
1.2.583         0.9.41              1.2.259             
1.2.584         0.9.41              1.2.259             
1.2.585         0.9.41              1.2.259             
1.2.586         0.9.41              1.2.259             
1.2.587         0.9.41              1.2.259             
1.2.588         0.9.41              1.2.259             
1.2.589         0.9.41              1.2.259             
1.2.590         0.9.41              1.2.259             
1.2.591         0.9.41              1.2.259             
1.2.592         0.9.41              1.2.259             
1.2.593         0.9.41              1.2.259             
1.2.594         0.9.41              1.2.259             
1.2.595         0.9.41              1.2.259             
1.2.596         0.9.41              1.2.259             
1.2.597         0.9.41              1.2.259             
1.2.598         0.9.41              1.2.259             
1.2.599         0.9.41              1.2.259             
1.2.600         0.9.41              1.2.259             
1.2.601         0.9.41              1.2.259             
1.2.602         0.9.41              1.2.259             
1.2.603         0.9.41              1.2.259             
1.2.604         0.9.41              1.2.259             
1.2.605         0.9.41              1.2.259             
1.2.606         0.9.41              1.2.259             
1.2.607         0.9.41              1.2.259             
1.2.608         0.9.41              1.2.259             
1.2.609         0.9.41              1.2.259             
1.2.609         0.9.41              1.2.259             
1.2.610         0.9.41              1.2.259             
1.2.611         0.9.41              1.2.259             
1.2.612         0.9.41              1.2.259             
1.2.613         0.9.41              1.2.259             
1.2.614         0.9.41              1.2.259             
1.2.615         0.9.41              1.2.259             
1.2.615         0.9.41              1.2.259             
1.2.616         0.9.41              1.2.259             
1.2.617         0.9.41              1.2.259             
1.2.618         0.9.41              1.2.259             
1.2.619         0.9.41              1.2.259             
1.2.620         0.9.41              1.2.259             
1.2.621         0.9.41              1.2.259             
1.2.622         0.9.41              1.2.259             
1.2.623         0.9.41              1.2.259             
1.2.624         0.9.41              1.2.259             
1.2.625         0.9.41              1.2.259             
1.2.626         0.9.41              1.2.259             
1.2.627         0.9.41              1.2.259             
1.2.628         0.9.41              1.2.259             
1.2.629         0.9.41              1.2.259             
1.2.630         0.9.41              1.2.259             
1.2.631         0.9.41              1.2.259             
1.2.632         0.9.41              1.2.259             
1.2.633         0.9.41              1.2.259             
1.2.634         0.9.41              1.2.259             
1.2.635         0.9.41              1.2.259             
1.2.636         0.9.41              1.2.259             
1.2.636         0.9.41              1.2.259             
1.2.636         0.9.41              1.2.259             
1.2.636         0.9.41              1.2.259             
1.2.636         0.9.41              1.2.259             
1.2.636         0.9.41              1.2.259             
1.2.636         0.9.41              1.2.259             
1.2.637         0.9.41              1.2.259             
1.2.638         0.9.41              1.2.259             
1.2.639         0.9.41              1.2.259             
1.2.640         0.9.41              1.2.259             
1.2.641         0.9.41              1.2.259             
1.2.642         0.9.41              1.2.259             
1.2.643         0.9.41              1.2.259             
1.2.644         0.9.41              1.2.259             
1.2.645         0.9.41              1.2.259             
1.2.646         0.9.41              1.2.259             
1.2.647         0.9.41              1.2.259             
1.2.648         0.9.41              1.2.259             
1.2.649         0.9.41              1.2.259             
1.2.650         0.9.41              1.2.259             
1.2.651         0.9.41              1.2.259             
1.2.652         0.9.41              1.2.259             
1.2.653         0.9.41              1.2.259             
1.2.654         0.9.41              1.2.259             
1.2.655         0.9.41              1.2.259             
1.2.656         0.9.41              1.2.259             
1.2.657         0.9.41              1.2.259             
1.2.658         0.9.41              1.2.259             
1.2.659         0.9.41              1.2.259             
1.2.660         0.9.41              1.2.259             
1.2.661         0.9.41              1.2.259             
1.2.662         0.9.41              1.2.259             
1.2.663         1.2.288             1.2.259             
1.2.664         1.2.288             1.2.259             
1.2.665         1.2.288             1.2.259             
1.2.666         1.2.288             1.2.259             
1.2.667         1.2.288             1.2.259             
1.2.668         1.2.288             1.2.259             
1.2.669         1.2.288             1.2.259             
1.2.670         1.2.288             1.2.259             
1.2.671         1.2.288             1.2.259             
1.2.672         1.2.288             1.2.259             
1.2.673         1.2.288             1.2.259             
1.2.674         1.2.288             1.2.259             
1.2.675         1.2.288             1.2.259             
1.2.676         1.2.288             1.2.259             
1.2.677         1.2.288             1.2.259             
1.2.678         1.2.288             1.2.259             
1.2.679         1.2.288             1.2.259             
1.2.680         1.2.288             1.2.259             
1.2.680         1.2.288             1.2.259             
1.2.680         1.2.288             1.2.259             
1.2.680         1.2.288             1.2.259             
1.2.680         1.2.288             1.2.259             
1.2.681         1.2.288             1.2.259             
1.2.682         1.2.288             1.2.259             
1.2.683         1.2.288             1.2.259             
1.2.684         1.2.288             1.2.259             
1.2.685         1.2.288             1.2.259             
1.2.686         1.2.288             1.2.259             
1.2.687         1.2.288             1.2.259             
1.2.688         1.2.288             1.2.259             
1.2.689         1.2.288             1.2.259             
1.2.690         1.2.288             1.2.259             
1.2.691         1.2.288             1.2.259             
1.2.692         1.2.288             1.2.259             
1.2.693         1.2.288             1.2.259             
1.2.694         1.2.288             1.2.259             
1.2.695         1.2.288             1.2.259             
1.2.696         1.2.288             1.2.259             
1.2.697         1.2.288             1.2.259             
1.2.697         1.2.288             1.2.259             
1.2.697         1.2.288             1.2.259             
1.2.698         1.2.288             1.2.259             
1.2.699         1.2.288             1.2.259             
1.2.700         1.2.288             1.2.259             
1.2.701         1.2.288             1.2.259             
1.2.702         1.2.288             1.2.259             
1.2.703         1.2.288             1.2.259             
1.2.704         1.2.288             1.2.259             
1.2.705         1.2.288             1.2.259             
1.2.706         1.2.288             1.2.259             
1.2.707         1.2.288             1.2.259             
1.2.708         1.2.288             1.2.259             
1.2.709         1.2.288             1.2.259             
1.2.710         1.2.288             1.2.259             
1.2.711         1.2.288             1.2.259             
1.2.712         1.2.288             1.2.259             
1.2.713         1.2.288             1.2.259             
1.2.714         1.2.288             1.2.259             
1.2.715         1.2.288             1.2.259             
1.2.716         1.2.288             1.2.259             
1.2.717         1.2.288             1.2.259             
1.2.718         1.2.288             1.2.259             
1.2.719         1.2.288             1.2.259             
1.2.720         1.2.288             1.2.259             
1.2.721         1.2.288             1.2.259             
1.2.722         1.2.288             1.2.259             
1.2.723         1.2.288             1.2.259             
1.2.724         1.2.288             1.2.259             
1.2.725         1.2.288             1.2.677             
1.2.725         1.2.288             1.2.259             
1.2.726         1.2.288             1.2.677             
1.2.727         1.2.288             1.2.677             
1.2.728         1.2.288             1.2.677             
1.2.729         1.2.288             1.2.677             
1.2.730         1.2.288             1.2.677             
1.2.731         1.2.288             1.2.677             
1.2.732         1.2.288             1.2.677             
1.2.733         1.2.288             1.2.677             
1.2.734         1.2.288             1.2.677             
1.2.735         1.2.288             1.2.677             
1.2.736         1.2.288             1.2.677             
1.2.737         1.2.288             1.2.677             
1.2.738         1.2.288             1.2.677             
1.2.739         1.2.288             1.2.677             
1.2.740         1.2.288             1.2.677             
1.2.741         1.2.288             1.2.677             
1.2.742         1.2.288             1.2.677             
1.2.743         1.2.288             1.2.677             
1.2.744         1.2.288             1.2.677             
1.2.745         1.2.288             1.2.677             
1.2.746         1.2.288             1.2.677             
1.2.747         1.2.288             1.2.677             
1.2.748         1.2.288             1.2.677             
1.2.749         1.2.288             1.2.677             
1.2.750         1.2.288             1.2.677             
1.2.751         1.2.288             1.2.677             
1.2.752         1.2.288             1.2.677             
