tag             min_meta_client     min_meta_server     
0.0.412         0.7.59              0.8.30              
0.0.413         0.7.59              0.8.30              
0.0.414         0.7.59              0.8.30              
0.0.415         0.7.59              0.8.30              
0.0.416         0.7.59              0.8.30              
0.0.417         0.7.59              0.8.30              
0.0.418         0.7.59              0.8.30              
0.0.419         0.7.59              0.8.30              
0.0.420         0.7.59              0.8.30              
0.0.421         0.7.59              0.8.30              
0.0.422         0.7.59              0.8.30              
0.0.423         0.7.59              0.8.30              
0.0.424         0.7.59              0.8.30              
0.0.425         0.7.59              0.8.30              
0.0.426         0.7.59              0.8.30              
0.0.427         0.7.59              0.8.30              
0.0.428         0.7.59              0.8.30              
0.0.429         0.7.59              0.8.30              
0.0.430         0.7.59              0.8.30              
0.0.431         0.7.59              0.8.30              
0.0.432         0.7.59              0.8.30              
0.0.433         0.7.59              0.8.30              
0.0.434         0.7.59              0.8.30              
0.0.435         0.7.59              0.8.30              
0.0.436         0.7.59              0.8.30              
0.0.437         0.7.59              0.8.30              
0.0.438         0.7.59              0.8.30              
0.0.439         0.7.59              0.8.30              
0.0.440         0.7.59              0.8.30              
0.8.30          0.7.59              0.7.63              
0.8.31          0.7.59              0.7.63              
0.8.32          0.7.59              0.7.63              
0.8.33          0.7.59              0.7.63              
0.8.34          0.7.59              0.7.63              
0.8.35          0.7.59              0.7.63              
0.8.36          0.7.59              0.8.30              
0.8.37          0.7.59              0.8.30              
0.8.38          0.7.59              0.8.30              
0.8.39          0.7.59              0.8.30              
0.8.40          0.7.59              0.8.30              
0.8.41          0.7.59              0.8.30              
0.8.42          0.7.59              0.8.30              
0.8.43          0.7.59              0.8.30              
0.8.44          0.7.59              0.8.30              
0.8.45          0.7.59              0.8.30              
0.8.46          0.7.59              0.8.30              
0.8.47          0.7.59              0.8.30              
0.8.48          0.7.59              0.8.30              
0.8.49          0.7.59              0.8.30              
0.8.50          0.7.59              0.8.30              
0.8.51          0.7.59              0.8.30              
0.8.52          0.7.59              0.8.30              
0.8.53          0.7.59              0.8.30              
0.8.54          0.7.59              0.8.30              
0.8.55          0.7.59              0.8.30              
0.8.56          0.7.59              0.8.30              
0.8.57          0.7.59              0.8.30              
0.8.58          0.7.59              0.8.30              
0.8.59          0.7.59              0.8.30              
0.8.60          0.7.59              0.8.30              
0.8.61          0.7.59              0.8.30              
0.8.62          0.7.59              0.8.30              
0.8.63          0.7.59              0.8.30              
0.8.64          0.7.59              0.8.30              
0.8.65          0.7.59              0.8.30              
0.8.66          0.7.59              0.8.30              
0.8.67          0.7.59              0.8.30              
0.8.68          0.7.59              0.8.30              
0.8.69          0.7.59              0.8.30              
0.8.70          0.7.59              0.8.30              
0.8.71          0.7.59              0.8.30              
0.8.72          0.7.59              0.8.30              
0.8.73          0.7.59              0.8.30              
0.8.74          0.7.59              0.8.30              
0.8.75          0.7.59              0.8.30              
0.8.76          0.7.59              0.8.30              
0.8.77          0.7.59              0.8.30              
0.8.78          0.7.59              0.8.30              
0.8.79          0.7.59              0.8.30              
0.8.80          0.7.59              0.8.35              
0.8.81          0.7.59              0.8.35              
0.8.82          0.7.59              0.8.35              
0.8.83          0.7.59              0.8.35              
0.8.84          0.7.59              0.8.35              
0.8.85          0.7.59              0.8.35              
0.8.86          0.7.59              0.8.35              
0.8.87          0.7.59              0.8.35              
0.8.88          0.7.59              0.8.35              
0.8.89          0.7.59              0.8.35              
0.8.90          0.7.59              0.8.35              
0.8.91          0.7.59              0.8.35              
0.8.92          0.7.59              0.8.35              
0.8.93          0.7.59              0.8.35              
0.8.94          0.7.59              0.8.35              
0.8.95          0.7.59              0.8.35              
0.8.96          0.7.59              0.8.35              
0.8.97          0.7.59              0.8.35              
0.8.98          0.7.59              0.8.35              
0.8.99          0.7.59              0.8.35              
0.8.100         0.7.59              0.8.35              
0.8.101         0.7.59              0.8.35              
0.8.102         0.7.59              0.8.35              
0.8.103         0.7.59              0.8.35              
